person,scan,curve,hand,frames_force,frames_velocity,duration_force_s,force_publish_hz,velocity_publish_hz,tcp_publish_hz,us_publish_hz,discard_s,comparison_samples,my_median_nm,my_mad_nm,my_abs_p95_nm,my_excess_rms_nm,my_active_fraction,predicted_rms_rad_s,predicted_abs_p95_rad_s,actual_rms_rad_s,actual_abs_p95_rad_s,actual_to_predicted_rms,zero_lag_corr,sign_agreement,excitation_reliable,apparent_lag_s,apparent_lag_ms,best_corr,lag_zero_corr,lag_corr_gain,lag_grid_dt_s,interpretation,initial_condition_spread_post_discard_rad_s
chenwei,LH_Per_C_DtP,C,LH,991,952,4.949119897,200.03556604076346,192.34223752118893,192.35743320283518,30.001559805585362,1.2,745,-0.01852236377334794,0.022679310338632443,0.048538468572255106,0.009164789279149248,0.28993288590604027,0.02738406156999857,0.061733298028341176,0.029177228919147227,0.06763028157052504,1.0654821544483093,0.943246214275435,0.5350500715307582,True,0.030036980999998963,30.036980999998963,0.947592169232753,0.9419545620625595,0.00563760717019357,0.005006163499999827,mixed replay agreement,0.0
chenwei,LH_Per_C_PtD,C,LH,997,911,4.980181387,199.99271564684477,182.9219650810367,182.92506421112006,29.993696659581005,1.2,711,-0.009800875209659554,0.029065213053757227,0.050092324256562855,0.010563686947853314,0.2672292545710267,0.015155827842695813,0.0369234268603606,0.016629022106599795,0.04329752405428901,1.0972031537435267,0.9096532990101595,0.5201793721973094,True,0.035075715500000104,35.0757155000001,0.9313690500077879,0.9256519531098637,0.005717096897924212,0.005010816500000015,mixed replay agreement,0.0
chenwei,LH_Per_L_DtP,L,LH,948,884,4.734552108,200.01892014238234,186.8835955654051,186.8855937644754,30.00034995089065,1.2,692,-0.004602137929679831,0.011792744029071517,0.02431063997179036,0.003083230173467016,0.02601156069364162,0.000850013923993785,0.0005263044342103545,0.0038579243490639366,0.008758300129536403,4.538660179750355,0.15548115111617578,0.10238907849829351,False,nan,nan,nan,nan,nan,nan,weak torque excitation; apparent lag omitted,0.0
chenwei,LH_Per_L_PtD,L,LH,945,911,4.718918233000001,200.04584809257486,193.02902429198352,193.05271992832172,29.994123345680123,1.2,703,0.010060737734243342,0.011099638430266021,0.031269004438700634,0.0049455117499715255,0.05547652916073969,0.001308756051160602,0.0017247542374533666,0.005420701023380858,0.011319853810444232,4.1418727489922915,0.101226313625274,0.13495934959349593,False,nan,nan,nan,nan,nan,nan,weak torque excitation; apparent lag omitted,0.0
chenwei,LH_Per_S_DtP,S,LH,1086,992,5.425008297,199.9996941202835,182.8420730561807,182.85686319568777,29.99979727359216,1.2,786,0.007026994260337244,0.024221789365288703,0.04909335422851034,0.010537786937034393,0.2862595419847328,0.027894757500252037,0.06798628434590409,0.029173201403294727,0.06981773131030773,1.0458309739036498,0.9580201823677318,0.5540540540540541,True,0.04498844400000013,44.98844400000013,0.9452938167879514,0.9364662267722835,0.008827590015667908,0.004998716000000014,mixed replay agreement,0.0
chenwei,LH_Per_S_PtD,S,LH,1144,1026,5.716732370000001,199.93939299978106,179.44648720518998,179.47315592106332,30.015566190923252,1.2,826,-0.0013491060016643957,0.039221937014045374,0.06658939991824364,0.01740086277319126,0.4430992736077482,0.06297629791926292,0.13640105562653165,0.06613152993148735,0.14368430939127197,1.050101897324443,0.9648432062180834,0.6456996148908858,True,0.030045051000001877,30.045051000001877,0.9686559312573652,0.9675005552135674,0.0011553760437977845,0.005007508500000313,mixed replay agreement,0.00011497778103866657
chenwei,RH_Per_C_DtP,C,RH,1280,1155,6.395260250000001,199.99186115998953,180.59713571707996,180.60250167301635,30.01157553696379,1.2,968,0.02083836522641777,0.04003973507892628,0.07454248272284993,0.022646531541464607,0.5826446280991735,0.07732557801197334,0.16580711277090235,0.08102029507635566,0.17224111613776233,1.047781305479672,0.9858899395511947,0.79596174282678,True,0.03006647999999501,30.06647999999501,0.9872688904126404,0.9851594460859125,0.002109444326727883,0.005011079999999168,mixed replay agreement,0.0
chenwei,RH_Per_C_PtD,C,RH,1278,1175,6.384360249,200.0200411936372,184.02874316096765,184.04349914058238,30.004663157353477,1.2,978,0.019866055120746753,0.013347539288485394,0.043746592592409636,0.007610709715100884,0.23824130879345604,0.015919722097981138,0.034124216874452724,0.016519425530924257,0.03801391059881224,1.0376704712087386,0.924415973682538,0.5016251354279523,True,0.029800922999999813,29.800922999999813,0.9486333984349844,0.9394036195385244,0.009229778896460039,0.004966820499999969,mixed replay agreement,0.0
chenwei,RH_Per_L_DtP,L,RH,1246,1170,6.230934642000001,199.80951037553825,187.76806751225377,187.77279288303595,30.082470886414317,1.2,969,-0.021933876044278388,0.016036852726063738,0.05094244581830197,0.011649172271624344,0.3106295149638803,0.034188778995343845,0.08646139731445125,0.0346337643730478,0.08757826612821085,1.01301553874634,0.9673190594374744,0.535832414553473,True,0.025065609999996852,25.065609999996852,0.9453051070361429,0.9388303202097756,0.0064747868263672625,0.00501312199999937,mixed replay agreement,0.0
chenwei,RH_Per_L_PtD,L,RH,1252,1147,6.262538844,199.75924000831634,183.2076932741461,183.15255658636198,30.005658483122556,1.2,946,0.003032092489754111,0.010296674160912426,0.02050406636073811,0.00036030327291645926,0.0010570824524312897,7.024142220792028e-05,9.583854282842402e-05,0.0034065093904748754,0.007777195636248796,48.49715856252643,0.054182202222610894,0.05121638924455826,False,nan,nan,nan,nan,nan,nan,weak torque excitation; apparent lag omitted,0.0
