cmd_mm_s,sign,t_edge_s,delay_s,rise_s,peak_accel_m_s2,kp
8.0,1.0,5.408412,0.0,0.020000000000000462,0.8964207158568225,0.90510625
0.0,1.0,6.413062,0.034999999999999254,0.035486999999999824,0.9485964272695107,nan
8.0,-1.0,6.818062,0.0,0.019998999999999434,0.9429885977195904,0.9249531249999999
0.0,1.0,7.823061,0.019999999999999574,0.005511999999999517,0.9152757619739553,nan
15.0,1.0,8.223062,0.04499999999999904,0.015000000000000568,1.3859999999997832,0.95915
0.0,1.0,9.228062,0.03999999999999915,0.015000000000000568,1.3529294141171677,nan
15.0,-1.0,9.633063,0.03999999999999915,0.025000999999999607,0.8931786357271895,0.9258416666666668
0.0,1.0,10.638062,0.03999999999999915,0.040001000000000175,1.0158031606321762,nan
25.0,1.0,11.043063,0.03999999999999915,0.020000999999998825,1.8055999999997177,0.9812849999999999
0.0,1.0,12.043063,0.03999999999999915,0.02499999999999858,1.6472705458908106,nan
25.0,-1.0,12.448068,0.02999999999999936,0.019999999999999574,1.4320864172835273,0.9634709999999999
0.0,1.0,13.448061,0.034999999999999254,0.016026000000000096,1.5387999999997592,nan
40.0,1.0,13.853646,0.04499999999999904,0.04999899999999968,1.8711550871152807,0.983699375
0.0,1.0,14.858068,0.03999999999999915,0.03000399999999992,2.1683298813786984,nan
40.0,-1.0,15.258061,0.03999999999999915,0.030561999999999756,2.165000000000431,0.9625125000000001
0.0,1.0,16.260337,0.03999999999999915,0.07999400000000279,2.2408000000004464,nan
