timestamp_ns,time_s,center_row_px,center_col_px,tracked
1788946121537179411,0.040453946000000005,548.0,425.5,1
1788946121569306917,0.072581452,548.0,425.5,1
1788946121605372429,0.10864696400000001,548.0,425.5,1
1788946121637277126,0.14055166100000002,548.0,425.5,1
1788946121669226171,0.172500706,548.0,425.5,1
1788946121705232608,0.208507143,548.0,425.5,1
1788946121737242346,0.24051688100000002,547.5,425.5,1
1788946121769329957,0.27260449200000003,547.5,425.5,1
1788946121805221181,0.30849571600000003,547.0,425.5,1
1788946121837437931,0.34071246600000005,547.5,425.5,1
1788946121869212185,0.37248672000000005,547.0,425.5,1
1788946121905327836,0.408602371,547.0,425.5,1
1788946121937321966,0.44059650100000003,546.5,425.5,1
1788946121970099416,0.473373951,546.5,425.0,1
1788946122005320721,0.508595256,546.5,425.0,1
1788946122037444115,0.5407186500000001,546.5,425.0,1
1788946122069208003,0.572482538,546.5,425.0,1
1788946122105380706,0.608655241,546.5,425.5,1
1788946122137372585,0.64064712,546.5,425.5,1
1788946122169338358,0.672612893,546.5,425.5,1
1788946122205445423,0.7087199580000001,547.0,425.5,1
1788946122237239994,0.740514529,547.0,425.0,1
1788946122269269658,0.7725441930000001,547.0,425.0,1
1788946122305200490,0.808475025,547.0,425.5,1
1788946122337391228,0.8406657630000001,547.5,425.5,1
1788946122369428740,0.872703275,547.5,425.5,1
1788946122405246873,0.908521408,548.0,424.5,1
1788946122437300222,0.940574757,548.0,425.5,1
1788946122469514328,0.9727888630000001,547.5,425.5,1
1788946122505255579,1.008530114,547.5,425.5,1
1788946122537466705,1.04074124,547.5,425.5,1
1788946122569218976,1.072493511,547.5,425.5,1
1788946122605125231,1.108399766,547.5,425.5,1
1788946122637832184,1.1411067190000002,547.5,425.5,1
1788946122669601575,1.17287611,547.5,425.5,1
1788946122705175244,1.2084497790000002,547.5,425.5,1
1788946122737300671,1.2405752060000002,547.5,425.5,1
1788946122769266281,1.272540816,547.0,425.5,1
1788946122805079099,1.3083536340000002,547.0,425.5,1
1788946122837473285,1.34074782,546.5,425.5,1
1788946122869325668,1.3726002030000002,546.5,425.0,1
1788946122905098697,1.4083732320000002,546.5,425.0,1
