cmd_mm_s,sign,t_edge_s,delay_s,rise_s,peak_accel_m_s2,kp
4.0,1.0,5.510438,0.009999999999999787,0.1299999999999999,0.6263252650530414,0.8102999999999999
0.0,1.0,6.515438,0.0,0.04999999999999982,0.5730853829234115,nan
4.0,-1.0,7.020438,0.024999999999999467,0.15499999999999936,0.6004401760703678,0.8003812499999998
0.0,1.0,8.025438,0.04499999999999904,0.039998999999999896,0.6999401078060367,nan
6.0,1.0,8.53045,0.02999999999999936,0.08500000000000085,0.5688338493290501,0.9009458333333333
0.0,1.0,9.53044,0.03999999999999915,0.0,1.1632326465293634,nan
6.0,-1.0,10.035437,0.034999999999999254,0.08000200000000035,0.7737999999998789,0.8483541666666666
0.0,1.0,11.035443,0.04499999999999904,0.015000000000000568,0.9361616970183094,nan
8.0,1.0,11.535438,0.03999999999999915,0.034273999999999916,0.7576823398743519,0.934915625
0.0,1.0,12.540438,0.024999999999999467,0.04499900000000068,0.7340531893621227,nan
8.0,-1.0,13.040437,0.04499999999999904,0.045410000000000394,0.7547999999998819,0.903275
0.0,1.0,14.040438,0.0,0.0,1.2589999999998032,nan
10.0,1.0,14.545438,0.03999999999999915,0.024380999999999986,0.8018396320735799,0.92604
0.0,1.0,15.550439,0.03999999999999915,0.03999999999999915,1.441200000000287,nan
10.0,-1.0,16.050438,0.03999999999999915,0.055001000000000744,1.5364489714402616,0.8916974999999999
0.0,1.0,17.050438,0.034999999999999254,0.019998999999998546,1.3847230553889132,nan
12.0,1.0,17.555443,0.034999999999999254,0.045000000000001705,1.2947072975147274,0.9689125000000001
0.0,1.0,18.560439,0.03999999999999915,0.015001999999999072,1.441576630652116,nan
12.0,-1.0,19.065438,0.02999999999999936,0.039998000000000644,0.7947589517901147,0.9566458333333333
0.0,1.0,20.070437,0.034999999999999254,0.009895999999997684,1.1311924809080218,nan
15.0,1.0,20.570438,0.034999999999999254,0.04893299999999812,1.0278000000002048,0.9615816666666668
0.0,1.0,21.570438,0.03999999999999915,0.015000000000000568,1.6860511590728886,nan
15.0,-1.0,22.075438,0.009999999999999787,0.015001999999999072,0.9838129496403735,0.9257083333333332
0.0,1.0,23.075438,0.03999999999999915,0.03999900000000167,1.249448566272345,nan
20.0,1.0,23.575437,0.034999999999999254,0.0200010000000006,1.6716656668666154,0.9459912500000001
0.0,1.0,24.580437,0.034999999999999254,0.0150030000000001,1.9168332666929166,nan
20.0,-1.0,25.080437,0.034999999999999254,0.0200010000000006,1.7658000000003513,0.95879625
0.0,1.0,26.085439,0.034999999999999254,0.04499999999999815,1.3378648540580926,nan
25.0,1.0,26.585438,0.034999999999999254,0.03500000000000014,2.533800000000504,0.991468
0.0,1.0,27.590439,0.03999999999999915,0.029778000000000304,1.2640776699028065,nan
25.0,-1.0,28.095437,0.034999999999999254,0.025000999999999607,1.7825739408474772,0.9684109999999999
0.0,1.0,29.100438,0.034999999999999254,0.019999999999999574,1.2109578084383041,nan
30.0,1.0,29.600661,0.03999999999999915,0.05000100000000174,1.3968000000002774,0.96378
0.0,1.0,30.605662,0.034999999999999254,0.029999999999997584,1.5775155031012582,nan
30.0,-1.0,31.105662,0.03999999999999915,0.019999999999999574,1.7401999999991098,0.990565
0.0,1.0,32.105661,0.034999999999999254,0.024999000000001104,1.9524000000017756,nan
40.0,1.0,32.610661,0.03999999999999915,0.035000000000003695,1.9967961553879074,0.985113125
0.0,1.0,33.610661,0.02999999999999936,0.02499999999999858,2.292600000002085,nan
40.0,-1.0,34.115661,0.02999999999999936,0.02499999999999858,1.9791999999989878,0.9782237499999998
0.0,1.0,35.115661,0.03999999999999915,0.06499900000000025,1.8004000000016374,nan
60.0,1.0,35.620661,0.03999999999999915,0.06499799999999567,3.1879999999983695,0.970155
0.0,1.0,36.625661,0.049999999999998934,0.07999800000000334,2.7536000000025043,nan
60.0,-1.0,37.130661,0.034999999999999254,0.045000000000001705,2.4540000000022326,0.9715825
0.0,1.0,38.130661,0.03999999999999915,0.09999999999999432,2.6156000000023787,nan
80.0,1.0,38.630661,0.03999999999999915,0.08314299999999974,2.4253149370125815,0.9850231249999999
0.0,1.0,39.635662,0.049999999999998934,0.06499999999999773,2.0182018201833447,nan
80.0,-1.0,40.140661,0.03999999999999915,0.054999999999999716,2.462585034013358,0.9885484375
0.0,1.0,41.140661,0.04499999999999904,0.0650009999999952,3.317936412717434,nan
