person,scan,frames,duration_s,image_hz,tcp_hz,force_hz,near_dark_left,near_dark_center,near_dark_right,my_median,my_deadzone_fraction,fz_median,fz_min,fz_max,max_abs_my
chenwei,LH_Per_C_DtP,148,4.899745245,30.001559805585362,192.35743320283518,200.03556604076346,0.11429356185453746,0.0013952977367611512,0.0011645792133597012,-0.01367885986172955,0.6337033299697276,4.0239377359494215,3.66038473513762,4.490637228031999,0.07590921314574267
chenwei,LH_Per_C_PtD,150,4.967710439,29.993696659581005,182.92506421112006,199.99271564684477,0.16286449864498648,0.001089430894308943,0.0004850948509485095,-0.001115668124009978,0.641925777331996,4.000956538401527,3.0466091096754733,4.730894951327839,0.11471472921950727
chenwei,LH_Per_L_DtP,142,4.699945175,30.00034995089065,186.8855937644754,200.01892014238234,0.0337169357609069,0.0005954425741440513,0.0026852169930150008,-0.0030675473880122876,0.9113924050632911,4.014587965039106,3.13831703745206,4.6530315087053,0.07060582490199796
chenwei,LH_Per_L_PtD,141,4.667580992,29.994123345680123,193.05271992832172,200.04584809257486,0.00783024851525111,0.00021334255895750446,0.002159372657556363,0.01185257580244564,0.8497354497354498,4.0129399555195615,3.0028622237152156,4.788663639954727,0.08205205698347463
chenwei,LH_Per_S_DtP,163,5.400036491000001,29.99979727359216,182.85686319568777,199.9996941202835,0.3121627013816151,0.009858347049728164,0.0014464561823532343,0.003353821531329169,0.6482504604051565,4.0254852772800325,3.027383666235349,4.608586382375632,0.11482567600680456
chenwei,LH_Per_S_PtD,171,5.6637279110000005,30.015566190923252,179.47315592106332,199.93939299978106,0.0745376313412257,0.0005420054200542006,0.0011410640422193695,0.007006653905140943,0.4624125874125874,3.9914368830984577,3.522184379319213,4.448213930109877,0.0937332472052747
chenwei,RH_Per_C_DtP,192,6.364211028000001,30.01157553696379,180.60250167301635,199.99186115998953,0.22317496612466123,4.869579945799458e-05,0.0014375846883468834,0.017048575794615387,0.434375,4.225203100872106,3.394658793896042,4.895527558676691,0.10972267536801582
chenwei,RH_Per_C_PtD,191,6.332349042000001,30.004663157353477,184.04349914058238,200.0200411936372,0.435544630315413,0.045560379687566516,0.00014685225386285277,0.016263222130073748,0.6752738654147105,3.7282178754233084,3.174442754609653,4.273383297690357,0.07121239549852991
chenwei,RH_Per_L_DtP,188,6.216244693,30.082470886414317,187.77279288303595,199.80951037553825,0.013129216398546964,0.0001859539871994465,0.000302715793115378,-0.017854028095747612,0.6284109149277689,4.265088324400079,3.547733122103673,4.671652002606529,0.10477484745436041
chenwei,RH_Per_L_PtD,188,6.232157848,30.005658483122556,183.15255658636198,199.75924000831634,0.6714949835668567,0.0001664936862134579,0.00014054661823213976,0.0001062365908793727,0.9432907348242812,3.7247173861757314,3.4873073504573924,4.09157117642308,0.04232137904705785
chenwei,RH_Per_S_DtP,204,6.767983298000001,29.994163853800927,182.5187916975697,199.9873797113647,0.1781603698389925,0.0001972740315638451,0.002658217758648175,-0.0077382926907879025,0.3860805860805861,4.228350821354746,3.4400959526454216,4.836657239130531,0.11366867906976187
chenwei,RH_Per_S_PtD,201,6.663832268,30.012760219132215,179.16166383845035,199.99796760993897,0.4151154795130041,0.06507300893904462,0.0001799943372568054,0.017946619544680627,0.4966542750929368,3.7245993922871987,3.065250583729896,4.339687221733019,0.10665843237689689
dianye,LH_Per_C_DtP,167,5.53593155,29.98591989454783,177.5673685053855,200.00702730783846,0.166759164597634,0.01938318484981257,0.021155250474660433,-0.03203400279963034,0.40555058191584603,3.960938550615079,3.3365039671069514,4.508597756879417,0.10277685423422674
dianye,LH_Per_C_PtD,174,5.764131775,30.013193097064473,178.4575531680324,199.87936981162972,0.30558125408840303,0.026988131950285023,0.003539388842164284,-0.020968311843593993,0.5457685664939551,4.002391811288797,3.2380318466555407,4.60704154423177,0.10118807267668337
dianye,LH_Per_L_DtP,160,5.300276634,29.99843422889538,181.88088396831665,199.60261112420392,0.03146087398373984,0.00012703252032520327,0.02738821138211382,-0.027598129429561323,0.419234360410831,3.9285960159548634,3.4759763420154313,4.5671454329406505,0.07363758774949121
dianye,LH_Per_L_PtD,164,5.432402083,30.005142754452475,176.53895970176666,199.9798174215033,0.46692444973230224,0.00010658338290699981,0.01337001784651993,-0.003144687634504517,0.8783165599268069,4.029328936575361,2.8676489450674714,4.684413448883409,0.06707543536747523
dianye,LH_Per_S_DtP,190,6.30005799,29.999723859684664,178.1002071313597,199.9791633669613,0.405703893881044,0.09377192982456141,0.010297389816003423,-0.01181443276657735,0.5251572327044025,3.9464930996706773,3.1859015067449015,4.7272188950101945,0.10512265989928478
dianye,LH_Per_S_PtD,198,6.552306526000001,30.065748483879762,187.70077033154865,199.88913204138947,0.4006056499958939,0.03408474993840848,0.003820727601215406,-0.00659507357011181,0.5628332063975628,4.04152907188414,3.014470737685163,4.7731522824800905,0.10809413781228996
dianye,RH_Per_C_DtP,192,6.3683380210000005,29.992126575279975,179.29248745134345,199.97533890976644,0.1296917344173442,0.011496443089430895,0.0028307079945799458,-0.0007504454360232807,0.8444096950742768,4.332465284493372,3.6944574139130397,4.678157024565092,0.049779985548838446
dianye,RH_Per_C_PtD,194,6.4361547980000005,29.98684867865106,189.30788364798264,199.97965159872675,0.09056449585114408,0.0007983404576313803,0.0026737071494426284,0.0059428665748214845,0.7102009273570324,3.670980354189855,3.00063294442162,4.422093458533041,0.070338410450827
dianye,RH_Per_L_DtP,186,6.164427596,30.010896732738587,191.6446015839352,200.0119561451146,0.005238657225281931,0.0034465425299414288,0.004888976309117929,-0.019912096904155546,0.6053054662379421,4.336041695680484,3.314485162014491,4.876292399601864,0.07846250503590012
dianye,RH_Per_L_PtD,190,6.300271242,29.998708427036323,184.2551929117798,200.00349999825673,0.007357723577235772,0.015348737697903294,0.08282199400941379,-0.010945191194443033,0.8237608182533438,3.6653378287583185,3.2395031889306938,4.8118841980676095,0.06393931820085384
dianye,RH_Per_S_DtP,220,7.299889015000001,30.000456109674154,181.03704819303016,200.00917541751377,0.34093495934959345,0.011367331855136734,0.005269770879526976,-0.011097869340950854,0.5728882833787466,4.300236816298355,3.028236401978848,4.947269705386056,0.11483147924233636
dianye,RH_Per_S_PtD,205,6.800143408,29.999367330989674,183.35374123052128,199.99900099769076,0.24384889946460434,0.0009200872496529844,0.0013206424747174302,-0.018892802133641633,0.5645514223194749,3.70286898747978,3.247622741596355,4.140746207765574,0.10522569573556895
yameng_1,LH_Per_C_DtP,165,5.467886376,29.993307966280973,179.88675336934938,199.99604490454087,0.1782483370288248,2.4636610002463664e-05,0.0,-0.015036569976260754,0.5141552511415525,4.066867639301744,3.5352394207748534,4.657754069088915,0.08764090183208215
yameng_1,LH_Per_C_PtD,167,5.515996598,30.094289771713886,183.34765026439032,199.58907597678711,0.2188354997322429,2.4341560780877273e-05,0.0,-0.020084812179091128,0.5636856368563685,3.9734848624302663,3.26874448771112,4.731302040682993,0.10688791020598362
yameng_1,LH_Per_L_DtP,156,5.170078985,29.98019961584784,183.7653439412619,199.7700905804274,0.0010397123202001252,5.211590577444237e-06,0.0,-0.0031711244052298627,0.9710703953712633,3.9961179852495725,3.7009223678777046,4.377582404791361,0.036799126154621
yameng_1,LH_Per_L_PtD,156,5.1680282570000005,29.992096074562927,176.50797228188097,199.99103947750743,0.0013263498019595581,1.3028976443610592e-05,0.0,5.737123082370381e-05,0.9144230769230769,3.99202604817511,2.9971144191631742,4.9784014682911915,0.07075605836868172
yameng_1,LH_Per_S_DtP,187,6.199979813000001,30.000097679350297,189.08195298289795,200.02456813424865,0.43082909438720046,0.06110386504934568,4.347637059258294e-06,0.008727952543247867,0.4807073954983923,4.032982398982805,3.387367028049361,5.014792129106801,0.09349127291007796
yameng_1,LH_Per_S_PtD,188,6.23239521,30.004515711705004,178.3581755437108,199.99191651262447,0.20583160352880128,3.02715793115378e-05,4.324511330219686e-06,-0.006110392433226781,0.6517213771016813,3.9546064398535394,3.172867858254162,4.692524727752911,0.11814553124188568
yameng_1,RH_Per_C_DtP,191,6.3347911560000005,29.99309611336459,185.70267842833633,200.03596404070157,0.647812114246797,0.10889201038607244,0.0,-0.005649850966319135,0.7694728560188828,4.342055596946022,3.551200512860924,4.650254470008354,0.07824754842905932
yameng_1,RH_Per_C_PtD,194,6.431233382,30.009795716662424,188.13386363805438,200.04694546381933,0.26333920040231334,0.11231246333081887,0.0,0.01116522039207043,0.7248840803709428,3.677677635950084,3.0465946262912778,4.24367426506543,0.07767420567343886
yameng_1,RH_Per_L_DtP,186,6.166255116,30.002002272005896,188.32792673109722,199.83505478437425,0.4512042136550397,0.0,0.0,-0.023759337819524905,0.5259319286871961,4.329382923756197,3.638938155537733,4.732481377862262,0.06490132227047307
yameng_1,RH_Per_L_PtD,185,6.131451215,30.009208839477,191.59478213201746,199.8615620717238,0.2804087013843112,1.0986596352450013e-05,0.0007119314436387608,-0.004387453541528212,0.940032414910859,3.67809481607489,3.179284823456493,4.31371762550547,0.04587570593352468
yameng_1,RH_Per_S_DtP,226,7.498757149,30.004972227965133,179.55231233231447,199.7685726838047,0.5574465788905676,0.10001978559608604,0.0,-0.0048999296255022775,0.543579507651364,4.282354841005925,3.429792789022221,4.953455629230547,0.11115588300267562
yameng_1,RH_Per_S_PtD,214,7.099486051,30.002171772701463,180.97006409982046,199.9810841651741,0.38037383177570105,0.1525928880784135,0.0002450421700478687,-0.007825787838005296,0.6599162011173184,3.7122830581899833,3.1222317537075783,4.193098708985224,0.09201165850947164
yameng_2,LH_Per_C_DtP,157,5.200379862,29.997808648540605,177.90724971685242,200.00156258665592,0.2933561182745586,0.0013334369012479932,5.178395733001917e-06,-0.02052579068527118,0.5489443378119002,4.029295452137584,3.4668618971936076,4.584650826533032,0.08269671099052371
yameng_2,LH_Per_C_PtD,156,5.164704502,30.011397542681717,178.1331503836691,200.01254820253277,0.24849385032311866,0.004893683552220139,7.817385866166356e-06,-0.01769482223541643,0.5841392649903289,4.004340578177735,3.293087157540035,4.614118250023491,0.09271886144738557
yameng_2,LH_Per_L_DtP,143,4.732397114,30.00593495839918,176.893396659441,200.00298529666014,0.15069077264199215,8.528057308545113e-05,0.0,-0.009646280783899074,0.9475341028331584,4.008199726553495,3.511806620451467,4.350065908101154,0.038904335857334445
yameng_2,LH_Per_L_PtD,145,4.80007159,29.999552569173243,181.2068194719596,199.952352520783,0.02489486963835156,0.00024390243902439027,0.0,0.005770124556058385,0.9625390218522373,3.998472997723895,3.6337136954812674,4.384961464078064,0.038731101550741207
yameng_2,LH_Per_S_DtP,165,5.468289337000001,29.991097744285284,183.20404927397044,199.97496721745827,0.4540675043114067,0.027282581916728256,0.0,-0.004610569609162682,0.6466302367941712,3.997513673774902,3.5358054708479774,4.6967080694425665,0.08145025524922445
yameng_2,LH_Per_S_PtD,164,5.436208462000001,29.984133452459936,184.116444515909,199.84039111806212,0.21731856038072575,0.0002280388657545112,0.0,0.001224311029983422,0.5950639853747715,3.956716278384402,3.2952260768376296,4.76042155581296,0.0815734549153454
yameng_2,RH_Per_C_DtP,162,5.364397649000001,30.012689314710418,183.40532464338273,199.6045766677221,0.34909665763324293,0.046221017765733216,0.0011266686740941485,0.01589691879074292,0.630009319664492,4.38406310229937,3.846926473737346,4.953540870649859,0.0896956962604354
yameng_2,RH_Per_C_PtD,161,5.332174996,30.006517062929493,179.09206058468152,199.79958008978537,0.2926450537797303,0.014442256223804474,0.0647906882795536,0.02104319090122745,0.5279850746268657,3.5873706758941237,2.6765545364386023,4.30753170935758,0.09702300875640832
yameng_2,RH_Per_L_DtP,159,5.268491597000001,29.98960842795475,179.6409334308178,199.9989825499451,0.3771897530296057,0.00013294472567367184,0.011300301682262105,-0.029254888744047178,0.3907721280602637,4.388269754624441,3.9691088175747833,4.979806551446901,0.07209133567934112
yameng_2,RH_Per_L_PtD,157,5.200183943000001,29.998938827922146,184.27698386723887,199.9845854027,0.1458779969965305,0.0007638133706177826,0.04712857956605044,-0.0020831277584963956,0.9799043062200957,3.597515656546166,3.258650033895979,4.335186994181829,0.03397806753520485
yameng_2,RH_Per_S_DtP,183,6.064549544,30.010472942720508,192.1339423230492,199.8411493738941,0.3741658891998756,0.008734284064152118,0.0734617264205429,-0.0046349213050093435,0.493431855500821,4.333556530537818,3.6668858184392663,4.868895183833791,0.12736407562786753
yameng_2,RH_Per_S_PtD,174,5.7682502730000005,29.99176384731044,178.20948768119825,199.85787053848665,0.35481730679375756,0.09744650032707222,0.0019110363517428279,-0.020358381320585064,0.4883116883116883,3.6423294559279373,3.0133745981035274,4.1045895519087985,0.11355189104626466
zhongkai,LH_Per_C_DtP,214,7.099990515,30.000040077518328,181.89531373727644,199.49808603443222,0.45434237519945286,0.04657320872274144,0.00023554441151888152,0.021812508300093108,0.5752274317704689,4.1749400591910675,3.465274110062423,5.114873359420434,0.08112883004036892
zhongkai,LH_Per_C_PtD,215,7.1165253470000005,30.070854745175964,181.6023992612173,199.74868050945577,0.17671015314804317,3.7814331631688417e-06,4.7267914539610525e-05,-0.01632371067353449,0.5565642458100558,3.8417949073206263,2.926508634182813,4.3516634799065,0.07638391720934683
zhongkai,LH_Per_L_DtP,211,6.983961938,30.068892394356002,181.93092242507072,199.48355234013226,0.4018340846915578,0.005111162486032443,0.00024081994374446121,0.02650356228333832,0.45571428571428574,4.177938463558472,3.280511786200644,4.931854460193325,0.06033518493939189
zhongkai,LH_Per_L_PtD,209,6.93232095,30.004381144528512,184.86101452493318,199.9708850453555,0.05389777103512662,2.528494184463376e-05,0.0009005329287742638,0.018751424852182924,0.6820143884892086,3.8288107187049323,2.762522705432648,4.497963381167186,0.08714546159004943
zhongkai,LH_Per_S_DtP,228,7.548169144,30.07351791797632,181.66748572643507,199.99243530261393,0.5701611752959636,0.11283162173727,0.0001889887319925831,0.019721483990950944,0.621870882740448,4.155646638716545,3.2769815991907727,4.952025291815087,0.07451448617900693
zhongkai,LH_Per_S_PtD,223,7.400241681000001,29.999020244160587,182.17055767678139,198.58474381900245,0.08661270917641911,1.4583105472310328e-05,7.291552736155165e-06,0.011548887415492426,0.6337169939065673,3.826361519840857,2.469433293792792,4.598381393457314,0.08965702915296903
