person,scan,event,fraction_delay_minus20ms,fraction_nominal,fraction_delay_plus20ms,max_fraction_change
chenwei,LH_Per_C_DtP,1,0.8067226890756303,0.8151260504201681,0.8333333333333334,0.018207282913165312
chenwei,LH_Per_C_PtD,1,0.6858407079646017,0.6902654867256637,0.6991150442477876,0.008849557522123908
chenwei,LH_Per_S_DtP,1,0.9827586206896551,0.9814814814814815,0.98,0.001481481481481528
chenwei,LH_Per_S_DtP,2,0.5239520958083832,0.5255255255255256,0.5329341317365269,0.007408606211001367
chenwei,LH_Per_S_PtD,1,0.8666666666666667,0.8833333333333333,0.8833333333333333,0.016666666666666607
chenwei,RH_Per_C_DtP,1,0.39166666666666666,0.4041666666666667,0.4125,0.012500000000000011
chenwei,RH_Per_C_DtP,2,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.0
chenwei,RH_Per_C_PtD,1,0.5726872246696035,0.5814977973568282,0.5859030837004405,0.008810572687224627
chenwei,RH_Per_L_PtD,1,0.9431356620633631,0.9429967426710097,0.9428104575163399,0.00018628515466989626
chenwei,RH_Per_S_DtP,1,0.1978021978021978,0.2087912087912088,0.21611721611721613,0.010989010989011005
chenwei,RH_Per_S_PtD,1,0.30714285714285716,0.31666666666666665,0.3238095238095238,0.00952380952380949
dianye,LH_Per_C_DtP,1,0.95,0.945,0.945,0.0050000000000000044
dianye,LH_Per_C_PtD,1,0.8564814814814815,0.8564814814814815,0.8564814814814815,0.0
dianye,LH_Per_L_PtD,1,0.9130434782608695,0.9117259552042161,0.9117259552042161,0.0013175230566534468
dianye,LH_Per_S_DtP,1,0.7339285714285714,0.7357142857142858,0.7357142857142858,0.0017857142857143904
dianye,LH_Per_S_PtD,1,0.5222222222222223,0.5194444444444445,0.5194444444444445,0.002777777777777768
dianye,LH_Per_S_PtD,2,0.8095238095238095,0.8021978021978022,0.7948717948717948,0.007326007326007411
dianye,RH_Per_S_DtP,1,0.7412587412587412,0.7412587412587412,0.7412587412587412,0.0
dianye,RH_Per_S_DtP,2,0.9,0.8892857142857142,0.8821428571428571,0.010714285714285787
dianye,RH_Per_S_PtD,1,0.9422632794457275,0.9445727482678984,0.9445727482678984,0.002309468822170868
yameng_1,LH_Per_C_DtP,1,0.5849802371541502,0.5810276679841897,0.5849802371541502,0.0039525691699604515
yameng_1,LH_Per_C_PtD,1,0.9130434782608695,0.9133333333333333,0.9033333333333333,0.010000000000000009
yameng_1,LH_Per_S_DtP,1,0.475482912332838,0.475482912332838,0.4784546805349183,0.0029717682020802827
yameng_1,LH_Per_S_PtD,1,0.9469026548672567,0.9380530973451328,0.9380530973451328,0.008849557522123908
yameng_1,RH_Per_C_DtP,1,0.8693994280266921,0.8717703349282296,0.8751200768491835,0.0033497419209538304
yameng_1,RH_Per_C_PtD,1,0.45147679324894513,0.45569620253164556,0.4578059071729958,0.004219409282700426
yameng_1,RH_Per_L_DtP,1,0.4537987679671458,0.4515463917525773,0.4503105590062112,0.0022523762145684745
yameng_1,RH_Per_L_PtD,1,0.974910394265233,0.9713261648745519,0.967741935483871,0.0035842293906810374
yameng_1,RH_Per_S_DtP,1,0.6269070735090153,0.6304044630404463,0.6325385694249649,0.003497389531430972
yameng_1,RH_Per_S_DtP,2,0.8620689655172413,0.8589341692789969,0.8589341692789969,0.0031347962382444194
yameng_1,RH_Per_S_PtD,1,0.7940074906367042,0.7940074906367042,0.7940074906367042,0.0
yameng_2,LH_Per_C_DtP,1,0.9418960244648318,0.941717791411043,0.9388379204892966,0.0028798709217463525
yameng_2,LH_Per_C_PtD,1,0.8785942492012779,0.8785942492012779,0.8753993610223643,0.0031948881789136685
yameng_2,LH_Per_S_DtP,1,0.7731239092495636,0.7731239092495636,0.7696335078534031,0.003490401396160525
yameng_2,LH_Per_S_PtD,1,0.9285714285714286,0.9357142857142857,0.9357142857142857,0.0071428571428571175
yameng_2,RH_Per_C_DtP,1,0.32761904761904764,0.32571428571428573,0.3238095238095238,0.001904761904761909
yameng_2,RH_Per_C_PtD,1,0.20048309178743962,0.20048309178743962,0.20531400966183574,0.004830917874396129
yameng_2,RH_Per_C_PtD,2,1.0,1.0,1.0,0.0
yameng_2,RH_Per_L_DtP,1,0.454,0.446,0.442,0.008000000000000007
yameng_2,RH_Per_S_DtP,1,0.2766798418972332,0.28063241106719367,0.2727272727272727,0.007905138339920958
yameng_2,RH_Per_S_DtP,2,0.8292682926829268,0.8170731707317073,0.805668016194332,0.012195121951219523
yameng_2,RH_Per_S_PtD,1,0.7255639097744361,0.7228464419475655,0.7218045112781954,0.0027174678268705454
zhongkai,LH_Per_C_DtP,1,0.2116564417177914,0.21779141104294478,0.22085889570552147,0.006134969325153367
zhongkai,LH_Per_C_PtD,1,0.8102409638554217,0.8108108108108109,0.8138138138138138,0.0030030030030029353
zhongkai,LH_Per_S_DtP,1,0.7857142857142857,0.78125,0.7872340425531915,0.005984042553191515
zhongkai,LH_Per_S_DtP,2,0.423841059602649,0.42951541850220265,0.4370860927152318,0.007570674213029149
zhongkai,RH_Per_C_PtD,1,0.4174135723431498,0.4195624195624196,0.4165588615782665,0.0030035579841530824
zhongkai,RH_Per_L_PtD,1,0.8021133525456292,0.8013500482160077,0.8005808325266215,0.0007692156893862601
zhongkai,RH_Per_S_DtP,1,0.8040201005025126,0.8040201005025126,0.8040201005025126,0.0
zhongkai,RH_Per_S_PtD,1,0.475177304964539,0.4799054373522459,0.475177304964539,0.004728132387706863
zhongyao,LH_Per_C_DtP,1,0.7917675544794189,0.7869249394673123,0.7820823244552058,0.004842615012106588
zhongyao,RH_Per_C_PtD,1,0.47844827586206895,0.48497854077253216,0.48497854077253216,0.006530264910463213
zhongyao,RH_Per_S_PtD,1,0.825,0.7875,0.7875,0.03749999999999998
