person,scan,event,start_frame,end_frame,start_time_s,end_time_s,end_exclusive_time_s,duration_s,start_timestamp_ns,end_timestamp_ns,side,max_dark_width_fraction,peak_frame,left_censored,right_censored,aligned_frame_fraction,force_samples,velocity_samples,force_p05,force_median,force_p95,my_p05,my_median,my_p95,mx_median,fy_median,my_deadzone_fraction,omega_y_median_deg_s,omega_y_abs_median_deg_s,omega_y_speed_near_limit_fraction,torque_velocity_opposition_fraction,torque_velocity_sign_valid_samples,image_manual_review
chenwei,LH_Per_C_DtP,1,130,147,4.331820491,4.899745245,4.931830972,0.600010481,1788954135644009524,1788954136211934278,left,0.125,130,False,True,1.0,119,115,3.866811449808914,4.01263499813478,4.125574180080384,-0.0014666243350219522,0.014086614654662663,0.03109516705089248,0.126261816316739,-0.003964270851779295,0.8151260504201681,0.0,0.1637767884232757,0.0,nan,0,unreviewed
chenwei,LH_Per_C_PtD,1,116,149,3.8677712960000004,4.967710439,4.999793843,1.1320225469999996,1788954203024780499,1788954204124719642,left,0.25,145,False,True,1.0,226,201,3.752089904037163,3.943476422923429,4.255763001508571,-0.00291399782256812,0.01685374415893777,0.04353730834870093,0.12082484923376428,1.898971259701848,0.6902654867256637,-0.09183980110454365,0.2007334979974678,0.0,1.0,3,unreviewed
chenwei,LH_Per_S_DtP,1,0,11,0.0,0.36409661400000004,0.399879458,0.399879458,1788954159278741979,1788954159642838593,left,0.1875,0,True,False,0.5833333333333334,54,51,3.8553311406048425,4.004115204448603,4.282070224676234,-0.01295713436079143,0.00498601385478706,0.022883800077395038,0.1245318115984993,0.6880200990243421,0.9814814814814815,0.15558190023182417,0.15558190023182417,0.0,nan,0,unreviewed
chenwei,LH_Per_S_DtP,2,80,129,2.6640565680000003,4.299885551,4.331889554,1.6678329859999996,1788954161942798547,1788954163578627530,left,0.34375,102,False,False,1.0,333,295,3.7112581235079793,3.9565412741199966,4.289303312319949,-0.0033664344511100033,0.02347033904259354,0.04825841704916851,0.12846033265639029,0.19608454032289507,0.5255255255255256,-0.47474657299963074,0.5398776842545832,0.0,0.9895833333333334,96,unreviewed
chenwei,LH_Per_S_PtD,1,152,160,5.0636617820000005,5.3317207380000005,5.363932744,0.3002709619999999,1788954227271641462,1788954227539700418,left,0.15625,158,False,False,1.0,60,56,3.8347535223415283,3.997195376303508,4.137465247974703,-0.009265937214698781,0.008373615392489306,0.02768353288147351,0.12098183067306251,2.0245918073454323,0.8833333333333333,0.0,0.4194398034254413,0.0,nan,0,unreviewed
chenwei,RH_Per_C_DtP,1,39,74,1.300158345,2.4640359480000003,2.500013092,1.199854747,1788953834266204469,1788953835430082072,left,0.1875,55,False,False,1.0,240,218,4.118705987279722,4.261665450748243,4.397886486507089,0.008272571929277764,0.02941916982749652,0.05067803541238536,0.013867203644795552,1.927603414807208,0.4041666666666667,-0.4767236355994459,0.490086796127487,0.0,1.0,84,unreviewed
chenwei,RH_Per_C_DtP,2,86,99,2.864055988,3.299985565,3.3320055610000003,0.4679495730000003,1788953835830102112,1788953836266031689,left,0.125,86,False,False,1.0,94,84,3.7634509817562276,4.1879047047603954,4.452979548302164,0.03924005001575998,0.06468992912806733,0.09585165433474127,-0.006398194822452245,2.060438754242277,0.010638297872340425,-8.29749804210886,8.29749804210886,0.0,1.0,93,unreviewed
chenwei,RH_Per_C_PtD,1,50,117,1.664128094,3.9000245610000004,3.9322526700000004,2.2681245760000004,1788953941064548252,1788953943300444719,left,0.25,86,False,False,1.0,454,420,3.4271100753932373,3.7025252317821513,3.999394640831748,0.00021064621781773446,0.02196944173136222,0.04934508059417947,0.06545268215597588,0.5831753535423276,0.5814977973568282,-0.22170289190228173,0.342621645460161,0.0,1.0,96,unreviewed
chenwei,RH_Per_L_PtD,1,3,187,0.10000434700000001,6.232157848,6.264257333,6.164252986,1788953889383425473,1788953895515578974,left,0.28125,101,False,True,0.9945945945945946,1228,1127,3.603220768123096,3.723154032992585,3.8549214118860937,-0.022894069247834693,-6.596836962474196e-05,0.020360818250426932,0.06965650930138048,0.3616368097161896,0.9429967426710097,0.0,0.11238802992850819,0.0,0.3333333333333333,3,unreviewed
chenwei,RH_Per_S_DtP,1,38,78,1.268070282,2.600012421,2.6358927060000004,1.3678224240000003,1788953865714979114,1788953867046921253,left,0.28125,63,False,False,1.0,273,253,3.9551887702256687,4.229118943790842,4.428233490060148,0.014970795990484361,0.036898110670957815,0.061852765762518226,0.0071321232125217925,1.83691369507592,0.2087912087912088,-2.0434586868482985,2.0434586868482985,0.0,1.0,178,unreviewed
