person,scan,frames,valid_frames,events,candidate_fraction,dark_width_mean,fraction_occupancy_0.65,fraction_occupancy_0.75,fraction_occupancy_0.85
zhongkai,RH_Per_C_DtP,178,173,0,0.0,0.03486271676300578,0.05202312138728324,0.0,0.0
zhongkai,RH_Per_C_PtD,181,176,1,0.6590909090909091,0.12464488636363637,0.6818181818181818,0.6590909090909091,0.6477272727272727
zhongkai,RH_Per_L_DtP,174,169,0,0.0,0.016826923076923076,0.0,0.0,0.0
zhongkai,RH_Per_L_PtD,177,173,1,0.8959537572254336,0.16853323699421965,0.9017341040462428,0.8959537572254336,0.884393063583815
zhongkai,RH_Per_S_DtP,196,191,1,0.15706806282722513,0.03386780104712042,0.15706806282722513,0.15706806282722513,0.14136125654450263
zhongkai,RH_Per_S_PtD,191,186,1,0.34408602150537637,0.09559811827956989,0.42473118279569894,0.34408602150537637,0.0
zhongyao,LH_Per_C_DtP,190,185,1,0.33513513513513515,0.11030405405405405,0.33513513513513515,0.33513513513513515,0.22702702702702704
zhongyao,LH_Per_L_DtP,180,176,0,0.0,0.003018465909090909,0.0,0.0,0.0
zhongyao,RH_Per_C_DtP,225,221,0,0.0,0.01456447963800905,0.0,0.0,0.0
zhongyao,RH_Per_C_PtD,224,220,1,0.1590909090909091,0.0328125,0.16818181818181818,0.1590909090909091,0.12727272727272726
zhongyao,RH_Per_L_DtP,221,217,0,0.0,0.0,0.0,0.0,0.0
zhongyao,RH_Per_L_PtD,222,217,0,0.0,0.0,0.0,0.0,0.0
zhongyao,RH_Per_S_DtP,235,230,0,0.0,0.008152173913043478,0.0,0.0,0.0
zhongyao,RH_Per_S_PtD,234,229,1,0.05240174672489083,0.027429039301310045,0.06550218340611354,0.05240174672489083,0.0
