person,scans,events,valid_frames,candidate_fraction,mean_dark_width
chenwei,12,11,2026,0.25863770977295164,0.06044854392892399
dianye,12,9,2185,0.24622425629290617,0.06540331807780321
yameng_1,12,11,2157,0.38340287436254056,0.10234121464997682
yameng_2,12,11,1867,0.2897696839850027,0.07518746652383503
zhongkai,12,8,2342,0.23911187019641333,0.06765051238257899
zhongyao,8,3,1695,0.06430678466076696,0.023322271386430678
